course_number,launch_month,launch_day,course_title,instructors,course_subject,year,honor_code_certificates,participants,audited,certified,percent_played_video,percent_posted_forum,percent_grade_higher_than_zero,total_course_hours_per_1000,median_hours_for_certification,median_age,percent_male,percent_female,percent_bachelor_degree_or_higher,2012,2013,2014,2015,2016
6.002x,9,5,Circuits and Electronics,Khurram Afridi,"Science, Technology, Engineering, and Mathematics",1,1,36105,5431,3003,83.2,8.17,28.97,418.94,64.45,26,88.28,11.72,60.68,MITx,NA,NA,NA,NA
6.00x,9,26,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag, Chris Terman",Computer Science,1,1,62709,8949,5783,89.14,14.38,39.5,884.04,78.53,28,83.5,16.5,63.04,MITx,NA,NA,NA,NA
3.091x,10,9,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",1,1,16663,2855,2082,87.49,14.42,34.89,227.55,61.28,27,70.32,29.68,58.76,MITx,NA,NA,NA,NA
CS50x,10,15,Introduction to Computer Science,"David Malan, Nate Hardison, Rob Bowden, Tommy MacWilliam, Zamyla Chan",Computer Science,1,1,129400,12888,1439,0,0,1.11,220.9,0,28,80.02,19.98,58.78,HarvardX,NA,NA,NA,NA
PH207x,10,15,Health in Numbers: Quantitative Methods in Clinical and Public Health Research,"Earl Francis Cook, Marcello Pagano","Government, Health, and Social Science",1,1,52521,10729,5058,77.45,15.98,32.52,804.41,76.1,32,56.78,43.22,88.33,HarvardX,NA,NA,NA,NA
6.00x,2,4,Introduction to Computer Science and Programming,Larry Rudolph,Computer Science,1,1,65380,6473,3313,82.43,10.3,28.9,639.4,84.14,27,83.99,16.01,60.9,NA,MITx,NA,NA,NA
3.091x,2,5,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",1,1,8270,838,547,80.25,10.22,23.49,68.11,59.29,27,73.3,26.7,58.99,NA,MITx,NA,NA,NA
14.73x,2,12,The Challenges of Global Poverty,"Esther Duflo, Abhijit Banerjee","Government, Health, and Social Science",1,1,29044,6510,4607,83.24,13.89,39.38,279.22,40.3,30,53.76,46.24,81.94,NA,MITx,NA,NA,NA
8.02x,2,18,Electricity and Magnetism,"Walter Lewin, John Belcher, Peter Dourmashkin, Ricardo Abbate, Saif Rayyan, George Stephans, Isaac Chuang","Science, Technology, Engineering, and Mathematics",1,1,39178,3543,1722,85.3,5.86,16.04,380.35,107.88,26,85.42,14.58,56.97,NA,MITx,NA,NA,NA
ER22x,3,2,Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",1,1,58779,9425,5438,NA,21.86,20.98,186.61,13.67,30,60.42,39.58,69.78,NA,HarvardX,NA,NA,NA
6.002x,3,3,Circuits and Electronics,Tania Khanna,"Science, Technology, Engineering, and Mathematics",1,1,16752,1769,1103,83.55,5.68,22.47,148.54,59.39,25,88.88,11.12,59.51,NA,MITx,NA,NA,NA
7.00x,3,5,Introduction to Biology: Secret of Life,"Eric Lander, Graham Walker, Brian White, Michelle, Mischke, Mary Ellen Wiltrout","Science, Technology, Engineering, and Mathematics",1,1,28535,6109,3242,84.62,33.14,38.85,476.84,72.8,30,57.79,42.21,68.15,NA,MITx,NA,NA,NA
