artist_name,artist_uri,album_uri,album_name,album_img,album_type,is_collaboration,album_release_date,album_release_year,album_popularity,track_name,track_uri,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,track_preview_url,track_open_spotify_url,year
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,Come Together - Remastered 2009,2EqlS6tkEnglzr7tkKAAYD,1,1,0.533,0.376,A,-11.913,minor,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947,4,A minor,78,NA,https://open.spotify.com/track/2EqlS6tkEnglzr7tkKAAYD,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,Something - Remastered 2009,0pNeVovbiZHkulpGeOx1Gj,2,1,0.396,0.338,C,-10.872,major,0.0304,0.198,2.62e-6,0.138,0.377,133.522,182293,4,C major,68,NA,https://open.spotify.com/track/0pNeVovbiZHkulpGeOx1Gj,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,Maxwell's Silver Hammer - Remastered 2009,2S8xyNRJX1XQdo3qnTuovI,3,1,0.764,0.426,D,-11.045,major,0.0405,0.629,1.19e-4,0.132,0.726,131.12,207920,4,D major,58,NA,https://open.spotify.com/track/2S8xyNRJX1XQdo3qnTuovI,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,Oh! Darling - Remastered 2009,2mxByJWOajjiVsLWjNXvDJ,4,1,0.422,0.656,E,-8.412,major,0.0397,0.0126,0.0279,0.268,0.549,173.93,207240,3,E major,65,NA,https://open.spotify.com/track/2mxByJWOajjiVsLWjNXvDJ,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,Octopus's Garden - Remastered 2009,0suLngfo7rJoetk7Ub6N8l,5,1,0.626,0.512,C#,-9.15,minor,0.0247,0.155,4.65e-5,0.215,0.73,92.225,170720,4,C# minor,60,NA,https://open.spotify.com/track/0suLngfo7rJoetk7Ub6N8l,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,I Want You (She's So Heavy) - Remastered 2009,3Z25k4ZF6QENy2d9YatsM5,6,1,0.37,0.515,D,-9.487,minor,0.0321,0.0233,0.205,0.0966,0.42,115.732,467320,4,D minor,61,NA,https://open.spotify.com/track/3Z25k4ZF6QENy2d9YatsM5,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,Here Comes The Sun - Remastered 2009,6dGnYIeXmHdcikdzNNDMm2,7,1,0.557,0.54,A,-10.484,major,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733,4,A major,81,NA,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,Because - Remastered 2009,1rxoyGj1QuPoVi8fOft1Kt,8,1,0.328,0.249,D,-11.777,major,0.0272,0.754,5.77e-6,0.134,0.162,81.257,165667,4,D major,59,NA,https://open.spotify.com/track/1rxoyGj1QuPoVi8fOft1Kt,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,You Never Give Me Your Money - Remastered 2009,1jOLTO379yIu9aMnCkpMQl,9,1,0.335,0.416,C,-11.051,major,0.0348,0.345,0.136,0.116,0.223,174.464,242973,3,C major,58,NA,https://open.spotify.com/track/1jOLTO379yIu9aMnCkpMQl,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,Sun King - Remastered 2009,4nwKdZID1ht0lDBJ5h2p87,10,1,0.483,0.177,D,-17.629,major,0.0277,0.284,0.499,0.116,0.192,74.994,146267,4,D major,56,NA,https://open.spotify.com/track/4nwKdZID1ht0lDBJ5h2p87,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,Mean Mr Mustard - Remastered 2009,4JOyMhad5dD81uGYLGgKrS,11,1,0.676,0.596,E,-9.107,major,0.0272,0.0699,1.96e-5,0.351,0.97,100.687,66533,4,E major,55,NA,https://open.spotify.com/track/4JOyMhad5dD81uGYLGgKrS,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,Polythene Pam - Remastered 2009,1FTCA6wQwulQFokDddKE68,12,1,0.474,0.939,B,-8.884,minor,0.199,0.00472,0.674,0.19,0.499,166.829,72640,4,B minor,55,NA,https://open.spotify.com/track/1FTCA6wQwulQFokDddKE68,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,She Came In Through The Bathroom Window - Remastered 2009,2jtUGFsqanQ82zqDlhiKIp,13,1,0.53,0.72,D,-8.793,major,0.0338,0.00376,3.38e-5,0.314,0.69,80.652,118627,4,D major,57,NA,https://open.spotify.com/track/2jtUGFsqanQ82zqDlhiKIp,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,Golden Slumbers - Remastered 2009,01SfTM5nfCou5gQL70r6gs,14,1,0.419,0.152,C,-12.126,major,0.0277,0.326,0.0034,0.113,0.239,80.608,91760,4,C major,63,NA,https://open.spotify.com/track/01SfTM5nfCou5gQL70r6gs,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,Carry That Weight - Remastered 2009,5eZrW59C3UgBhkqNlowEID,15,1,0.543,0.458,C,-8.976,major,0.0274,0.226,0.00663,0.298,0.704,84.319,96467,4,C major,58,NA,https://open.spotify.com/track/5eZrW59C3UgBhkqNlowEID,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,The End - Remastered 2009,5aHHf6jrqDRb1fcBmue2kn,16,1,0.647,0.487,B,-10.119,minor,0.0689,0.00101,0.285,0.138,0.222,123.444,141613,1,B minor,57,NA,https://open.spotify.com/track/5aHHf6jrqDRb1fcBmue2kn,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0ETFjACtuP2ADo6LFhL6HN,Abbey Road,https://i.scdn.co/image/a70b5fec5600e974f58259c5639f6b20f517dd5f,album,FALSE,1969-09-26,1969-09-26,79,Her Majesty - Remastered 2009,6UCFZ9ZOFRxK8oak7MdPZu,17,1,0.703,0.215,D,-23.03,major,0.0892,0.728,1.23e-6,0.13,0.522,100.874,25987,3,D major,22,NA,https://open.spotify.com/track/6UCFZ9ZOFRxK8oak7MdPZu,1969
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,6wCttLq0ADzkPgtRnUihLV,A Hard Days Night,https://i.scdn.co/image/caf7bfb0e38cc21f2cfb0894464c8b92cf3dcfa8,album,FALSE,1964-07-10,1964-07-10,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,No Reply - Remastered 2009,4ltC6PrqkTtpcRNi5lvS4z,1,1,0.718,0.593,C,-9.976,major,0.0377,0.67,0,0.172,0.869,124.251,136067,4,C major,58,NA,https://open.spotify.com/track/4ltC6PrqkTtpcRNi5lvS4z,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,I'm A Loser - Remastered 2009,7wC4EW11mBVxDK3xdC7FTf,2,1,0.492,0.628,G,-7.813,major,0.0439,0.567,1.07e-6,0.267,0.856,89.877,150027,4,G major,48,NA,https://open.spotify.com/track/7wC4EW11mBVxDK3xdC7FTf,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,Baby's In Black - Remastered 2009,7cb2SdLm1UMLwdUoWwrZN1,3,1,0.374,0.596,A,-7.666,major,0.0416,0.434,0,0.098,0.876,202.97,124520,3,A major,46,NA,https://open.spotify.com/track/7cb2SdLm1UMLwdUoWwrZN1,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,Rock And Roll Music - Remastered 2009,7Ho3T7ERfooiAfvODaMQ2N,4,1,0.457,0.917,A,-6.213,major,0.0441,0.566,0,0.333,0.965,167.092,151280,4,A major,50,NA,https://open.spotify.com/track/7Ho3T7ERfooiAfvODaMQ2N,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,I'll Follow The Sun - Remastered 2009,45WX2cfbL8bCIqv3rOq1G3,5,1,0.689,0.313,C,-10.073,major,0.0366,0.789,0,0.144,0.625,133.754,108853,4,C major,59,NA,https://open.spotify.com/track/45WX2cfbL8bCIqv3rOq1G3,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,Mr Moonlight - Remastered 2009,6pPOkr2OxhQ6htrzOiDmq9,6,1,0.631,0.424,F#,-9.106,major,0.0438,0.796,1.43e-4,0.118,0.589,126.127,158627,5,F# major,45,NA,https://open.spotify.com/track/6pPOkr2OxhQ6htrzOiDmq9,1964
